text,score,sentimen
sofyan dawood tokoh gam kecam keras nyata calon gubernur aceh bustami hamzah bilang sekolah  aceh sahabatmualem mualemdekfadh pastimenang pilkadaaceh acehmaju debatpilkadaaceh,1,Positif
pimpin jaring kampus jarkam bustami ilham rizky maulana alih dukung paslon gubernur wakil gubernur aceh nomor urut muzakir manaf fadhlullah aceh sahabatmualem mualemdekfadh pastimenang pilkadaaceh acehmaju debatpilkadaaceh,2,Positif
mitigasi bencana siap susul wilayah provinsi aceh pasuk musim hujan election pilkadaaceh,0,Netral
mualemdekfadh pilkadaaceh dukung fondasi cipta perintah kuat visioner responsif butuh rakyat aceh via,0,Netral
tinggi angka pilih galau swing voter pilih election pilkadaaceh pilkada,-2,Negatif
kupibeungoh opini pilgubaceh pilkadaaceh aceh wilayah sejarah konflik damai milik dinamika politik unik  pilgub kali hadir isu isu identitas agama narasi lokal kuat via,-3,Negatif
pilkadabireuen pilkadaaceh mualemdekfadh murdaniyusufabdulmuhaimin hrd pilih kepala daerah pilkada serentak indonesia november via,0,Netral
pimpin bijak peduli integritas  mualem dek fadh pilih aceh masa  aceh sahabatmualem mualemdekfadh pastimenang pilkadaaceh acehmaju debatpilkadaaceh,-1,Negatif
rpm target pasang muzakir manaf fadhlullah menang raih suara persen kabupaten simeulue  aceh sahabatmualem mualemdekfadh pastimenang pilkadaaceh acehmaju debatpilkadaaceh,3,Positif
pasang calon gubernur wakil gubernur aceh h muzakir manaf fadhullah unggul tebal kabupaten bireuen dasar survei baru  aceh sahabatmualem mualemdekfadh pastimenang pilkadaaceh acehmaju debatpilkadaaceh,1,Positif
lapor bukti bukti dukung klaim langgar ikut buat lapor laku langgar jenis pelanggara pilkadaaceh pilkadaserentak,1,Positif
survei issed elektabilitas pasang calon nomor urut illiza sa aduddin djamal afdhal khalilullah turun unggul pasang pilkadaaceh bandaaceh,2,Positif
kpu ri beku komisioner ambil alih tugas tanggung kip aceh selamat proses demokrasi aceh pilkadaaceh pilkadaserentak,-1,Negatif
rawan bustami simeulue alih dukung muzakir manaf fadhlullah target menang persen paslon muzakirmanaffadhlullah pilkadaaceh rbtsimuelue popularitascom,1,Positif
ustadz nazar yahya paslon henti klaim dukung uas pilkada aceh muzakirmanaffadhlullah pilkadaaceh uas ustadznazaryahya popularitascom,1,Positif
pilkadaaceh mualemdekfadh kampanyeakbardiacehbarat kampanye akbar mualem dek fadh aceh barat riah musisi gumara deret artis aceh via,3,Positif
pilkadaaceh mualemdekfadh guruhonorer dek fadh perintah angkat guru honorer abdi pegawai perintah janji kerja pakai proses seleksi via,5,Positif
mualem warga aceh timur goda tawar uang rp ribu pasang calon jelang pilih gubernur bupati  aceh sahabatmualem mualemdekfadh pastimenang pilkadaaceh acehmaju debatpilkadaaceh,0,Netral
mualem program prioritas beri peluang kebun plasma masyarakat kebun kelapa sawit kurang miskin  aceh sahabatmualem mualemdekfadh pastimenang pilkadaaceh acehmaju debatpilkadaaceh,-4,Negatif
kombinasi alam mualem semangat baru dek fadh harap aceh martabat  aceh sahabatmualem mualemdekfadh pastimenang pilkadaaceh acehmaju debatpilkadaaceh,1,Positif
dek fadh mualem tekad bawa aceh cerah damai sejahtera  aceh sahabatmualem mualemdekfadh pastimenang pilkadaaceh acehmaju debatpilkadaaceh,0,Netral
mualem salah tokoh kunci proses rekonsiliasi aceh bangun fondasi stabilitas pasca konflik  aceh sahabatmualem mualemdekfadh pastimenang pilkadaaceh acehmaju debatpilkadaaceh,3,Positif
muzakir manaf cita cita bawa aceh arah program program ukur strategis  aceh sahabatmualem mualemdekfadh pastimenang pilkadaaceh acehmaju debatpilkadaaceh,1,Positif
mualem janji manfaat potensi sumber daya alam aceh timur sektor ikan kebun dorong bangun ekonomi  aceh sahabatmualem mualemdekfadh pastimenang pilkadaaceh acehmaju debatpilkadaaceh,1,Positif
mualem janji bangun jalan jalan rusak aceh tamiang manfaat dana otonomi khusus terima aceh  aceh sahabatmualem mualemdekfadh pastimenang pilkadaaceh acehmaju debatpilkadaaceh,3,Positif
rawan juang banda aceh aceh sepenuh dukung pasang muzakir manaf mualem fadhlullah dek fadh pilkada aceh  aceh sahabatmualem mualemdekfadh pastimenang pilkadaaceh acehmaju debatpilkadaaceh,1,Positif
rpm kota langsa rawan unsur partai urus badan menang mualem dek fadh  aceh sahabatmualem mualemdekfadh pastimenang pilkadaaceh acehmaju debatpilkadaaceh,-3,Negatif
ratus pemuda mahasiswa gabung rencong muda dukung pasang mualem dek fadh pilkada  aceh sahabatmualem mualemdekfadh pastimenang pilkadaaceh acehmaju debatpilkadaaceh,0,Netral
mualem dorong investasi bangun infrastruktur tingkat ekonomi aceh sektor tani ikan pariwisata  aceh sahabatmualem mualemdekfadh pastimenang pilkadaaceh acehmaju debatpilkadaaceh,1,Positif
mualem peran aktif runding hasil janji helsinki konflik senjata gam perintah indonesia aceh sahabatmualem mualemdekfadh pastimenang pilkadaaceh acehmaju debatpilkadaaceh,1,Positif
harap pasang mualem dek fad bawa ubah butuh rakyat kalang muda  aceh sahabatmualem mualemdekfadh pastimenang pilkadaaceh acehmaju debatpilkadaaceh,-1,Negatif
kampanye akbar pasang muzakir manaf fadhlullah lapang bola kaki camat syamtalira aron aceh utara hadir puluh ribu warga aceh sahabatmualem mualemdekfadh pastimenang pilkadaaceh acehmaju debatpilkadaaceh,3,Positif
muzakir manaf fadhlullah mualem dek fadh gelar kampanye akbar lapang bola kaki camat syamtalira aron aceh utara aceh sahabatmualem mualemdekfadh pastimenang pilkadaaceh acehmaju debatpilkadaaceh,3,Positif
mualem janji manfaat potensi sumber daya alam aceh timur sektor ikan kebun dorong bangun ekonomi  aceh sahabatmualem mualemdekfadh pastimenang pilkadaaceh acehmaju debatpilkadaaceh ruls o e,1,Positif
sekolah  hahaha arogansi intelektual frustasi moral pilkadaaceh,2,Positif
jadi bakar mobil rawan dukung calon bupati aceh timur sulaiman tole abdul hamid suasana kondusif  meta lemhannas masuk aceh kategori rawan konflik pilkada pilkadadamai pilkadaaceh,0,Netral
lokasi tps paslon gubernur aceh wali kota banda aceh,-1,Negatif
walikota no gubernur no nye meunan  ,0,Netral
salam temanpemilih kip kabupaten aceh singkil laksana distribusi logistik pilih gubernur wakil gubernur bupati wakil bupati camat kabupaten aceh singkil selasa,-2,Negatif
ketua p aceh final muzakir manaf gubernur aceh,0,Netral
lokasi paslon gubernur wakil gubernur aceh coblos pilkada serentak,1,Positif
aceh calon gubernur nya pileh laju penteng bek syeh syoh ,0,Netral
surat suara gubernur wakil gubernur lembar surat suara pilih bupati wakil bupati nagan raya lembar giat hadir,-1,Negatif
temanpemilih kip kabupaten aceh utara distribusi logistik pilih gubernur wakil gubernur bupati wakil bupati aceh aceh utara camat gudang logistik kabupaten aceh utara senin  kipacehutara kpumelayani pilkadaserentak,0,Netral
pj gubernur safrizal pimpin rapat turun stunting lintas instansi lz,-1,Negatif
banda aceh laksana tugas plt sekretaris daerah sekda aceh muhammad diwarsyah wakil jabat pj gubernur aceh hadir ingat maulid nabi muhammad saw h gelar perintah kota pemko banda aceh taman sari banda aceh,0,Netral
sesuai putus presiden republik indonesia nomor mungut suara pilih gubernur wakil gubernur bupati wakil bupati walikota wakil walikota tanggal mungut suara pilih,-3,Negatif
salam temanpemilih ayo tps tanggal november pilih gubernur wakil gubernur bupati wakil bupati walikota wakil walikota ayo tps rabu november tps buka jam  wib sesuai qanun aceh nomor,1,Positif
calon gubernur aceh bustami hamzah nomor urut all ,0,Netral
selasa  kepala kejar aceh barat daya bima yudha asmara s h  m h  unsur forkopimda hadir musnah lebih surat suara pilih gubenur wakil gubernur aceh bupati wakil bupati aceh barat daya tempat kip ,-3,Negatif
tutup  hubung pilih gubernur wakil gubernur bupati wakil bupati walikota wakil walikota layan imigrasi kantor imigrasi kelas i banda aceh mpp aceh  buka layan,-3,Negatif
lapas kota bakti bekerjasama seng kip pidie ada sosialisasi tata coblos pilih gubernur wakil gubernur aceh  best regard humas lakoti kemenimipas kamipasti,-1,Negatif
salam temanpemilih laksana mungut suara pilih gubernur wakil gubernur aceh walikota wakil walikota banda aceh rabu november  wib  wib kpumelayani pilkadaserentak kipkotabandaaceh,-2,Negatif
lupa rabu november  s d  tps  calon gubernur wakil gubernur aceh calon walikota wakil walikota calon bupati wakil bupati aceh  pilkada kip walikota bupati aceh,0,Netral
konteks pilkada aceh pasang calon gubernur wakil gubernur dukung maksimal pasang memperkrnalkan sosok paslon kiprah pasang paslon ,6,Positif
mualem muzakir manaf lagu populer pilih gubernur aceh  cipta ,1,Positif
salam temanpemilih kpu ri monitoring distribusi logistik pilih gubernur wakil gubernur bupati wakil bupati camat pulau pulau barat kabupaten aceh singkil labuh danau anak laut singkil utara minggu,-2,Negatif
salam temanpemilih kip kabupaten aceh singkil laksana rapat koordinasi siap rekapitulasi hasil hitung suara pilih gubernur wakil gubernur bupati wakil bupati minggu,2,Positif
selasa mudik aceh pilkada calon gubernur bupati pilih,-2,Negatif
saleum temanpemilih komisi independen pilih kip aceh terima audiensi wakil liaison officer lo dukung pasang calon paslon gubernur wakil gubernur aceh nomor urut aula kip aceh kamis ,3,Positif
aman calon gubernur aceh hadir acara kenduri tahun,1,Positif
ktp banda aceh mending calon walkot pande coba bayang daerah  bupati walkotnya paok gubernur om bus muallem hahahahahaha,1,Positif
saleum temanpemilih komisi independen pilih kip aceh kip aceh forkopimda aceh laksana lepas logistik pilih kepala daerah pilkada gubernur wakil gubernur bupati wakil bupati kabupaten aceh ,-2,Negatif
sofyan dawood ucap bustami hamzah calon gubernur gubernur aceh acehutara acehtimur acehtengah acehcantik pilkadaserentak pilkadaserentak,-1,Negatif
gue gubernur tidak tau pilih wkkwkw duadua paslon gubernur aceh tidak ada btol,-4,Negatif
aceh tiru yogyakarta istimewa nya di yogyakarta selain china asing bumn benar milik hak tanah izin hbu hgb dan pilkada gubernur sana jgn hantu laut cuma mena,-1,Negatif
menang mualem dek fadh gubernur aceh pilih ,-1,Negatif
tanda pasang calon gagal gubernur,-1,Negatif
kampanye irwandi turun gunung mualem dek fadh gubernur aceh,1,Positif
neng ca teman lomba tari saman taman mini rebut piala gubernur aceh semangat neng moga menang,3,Positif
ilmu tahu muallem kalah calon pengaruh muallem jadi gubernur aceh menang muallem ,0,Netral
tengku bi bocor bacut sau tapileh gubernur,-2,Negatif
teungku h kamaruddin abubakar alias abu razak mantan wakil panglima gera aceh merdeka ajak rawan rakyat aceh awal suara gubernur muallem dek fadh,0,Netral
banda aceh bustami hamzah masyarakat aceh kecewa akibat nyata anggap masyarakat aceh kola  perktan muncul seta ricuh debat kandidat calon gubernur wakil gubernur tahab muncul pernyaan,1,Positif
perintah aceh panitia seleksi calon kepala bpma sesuai putus gubernur aceh nomor seleksi buka jabat kepala bpma daftar tanggal s d november,0,Netral
istri pj gubernur aceh kabid iv pakai pusat damping tum pakai tinjau rsud kalideres,2,Positif
calon gubernur aceh buatami hamzah nomor urut all ,0,Netral
uas ustad abdul somad dukung letnan jenderal tni h edy rahmayadi gubernur sumatera utara sumut  warga aceh sumut pilih ,0,Netral
rapat kordinasi tim kdeks provinsi jawa barat tim kdeks provinsi aceh gubernur aceh,-2,Negatif
pj gubernur aceh dorong kembang pariwisata ikan sabang,1,Positif
giat buka langsung pj  gubernur aceh safrizal arah tekan kesiap lapang jelang coblos ,3,Positif
banda aceh jabat gubernur aceh dr h safrizal hadir ingat maulid nabi muhammad saw kantor satu wartawan indonesia pwi aceh,0,Netral
banda aceh jabat gubernur aceh dr h safrizal m sih terima audiensi tim desk koordinasi pilkada serentak kemenko polhukam ruang vip bandara sultan iskandar muda blang bintang,-1,Negatif
pj gubernur safrizal elemen utama pilkada,0,Netral
mualem dek fadh bendung  kampaye akbar aceh penuh  dek facto and dek jure muallem gubernur aceh pilih,-2,Negatif
lage ek puko calon gubernur aceh mualem raja puko aceh,0,Netral
debat calon gubernur aceh ricuh,1,Positif
kampanye akbar pasang calon gubernur wakil gubernur aceh h muzakir manaf fadhlullah aceh utara riah  aceh sahabatmualem mualemdekfadh pastimenang pilkadaaceh acehmaju debatpilkadaaceh,3,Positif
puluh akademisi gelar doktor resmi dukung pasang calon gubernur wakil gubernur aceh nomor urut muzakkir manaf fadhlullah  aceh sahabatmualem mualemdekfadh pastimenang pilkadaaceh acehmaju debatpilkadaaceh,4,Positif
mualem dek fadh komitmen tegak syariat islam aceh pilih gubernur wakil gubernur  aceh sahabatmualem mualemdekfadh pastimenang pilkadaaceh acehmaju debatpilkadaaceh,0,Netral
juru bicara calon gubernur wakil gubernur aceh nomor urut bustami hamzah tengok fadhil rahmi hendra budian sebut komisi independen pilih kip aceh daya hadap kubu pasang nomor urut muzakir manaf fadhlullah kali rbmeu,1,Positif
male tanyo meuseu nya gubernur  ya allah but dikheun keu gop tok  hana narasi bangun meubacut pih ,1,Positif
ketawa mualim gubernur aceh  maju mundur,1,Positif
jelas paslon debat calon gubernur aceh bubar  gara gara alat elektronik  debat calon gubernur aceh syeh syoh karu  nya meugule keu panggong akibat om bus pakai alat elektronik curiga dukung lawan ,0,Netral
mualem pakai baju melayu debat calon gubernur aceh,2,Positif
pj gubernur aceh rakyat bantu tulus cepat amerika tsunami popularitascom,1,Positif
pilkadaaceh kericuhandebatkandidat calon wakil gubernur aceh dek fadh kait ricuh debat kandidat via,2,Positif
pj gubernur aceh gesek pilkada murni proses demokrasi masakininews,1,Positif
terima tim kemenko polhukam pj gubernur insya allah pilkada aceh jalan lancar aman,1,Positif
pasang calon gubernur wakil gubernur aceh nomor urut muzakir manaf fadhlullah janji pilih pilkada aceh ubah sektor bangun ekonomi turun angka miskin bebas kkn rabu,-2,Negatif
ribu warga simpatisan calon gubernur wakil gubernur aceh nomor urut muzakir manaf fadhlullah partai aceh partai nasional dukung kumpul lapang simpang mulieng syamtalira aron aceh utara ikut kampanye akbar rabu siang  hmd,2,Positif
pj gubernur terima audiensi tim desk koordinasi pilkada serentak kemenko polhukam aceh,2,Positif
detik detik ricuh debat gubernur aceh masakinifoto,1,Positif
pj gubernur terima audiensi tim desk pilkada serentak kemenko polhukam aceh,1,Positif
ricuh waakk   debat tiga pasang calon gubernur aceh ricuh  kip aceh putus debat lanjut lebih batas  full detiksumut pilgubaceh pilgubaceh pilkadaaceh kipaceh,3,Positif
debat paslon gubernur aceh brimob pasti aman kondusif ,2,Positif
pj gubernur terima audiensi tim desk koordinasi pilkada serentak kemenkopolhukam aceh,2,Positif
kabid humas polda aceh kombes pol  joko krisdiyanto s i kak wakil kapolda aceh hadir malam anugerah buka informasi publik anjong mon mata meuligoe gubernur aceh banda aceh  bidhumaspoldaaceh,-3,Negatif
calon gubernur aceh nomor urut bustami hamzah ban alat bantu komunikasi debat pilih kepala daerah pilkada aceh selasa malam  pilkada pilkadaaceh bustamihamzah,-1,Negatif
kip abdya souvenir warga pesan pilkada serentak rabu november pilih gubernur wakil gubernur aceh bupati wakil bupati aceh barat daya ,0,Netral
debat calon gubernur tiga pilkada aceh warna ricuh dukung  foto irwansyah putra yuk  lihat lengkap,5,Positif
pintar gubernur  kelas aceh hana perle careung jeut keu pimpin perle cit bek syeh syoh inan,-1,Negatif
jelas debat calon gubernur aceh bubar  gara gara alat elektronik,-1,Negatif
jelas debat cagub gubernur aceh bubar  gara gara alat elektronik,-1,Negatif
hadir pasang calon gubernur wakil gubernur visi misi program hadap publik  debat tiga moderator ayaa nufus aulia wardhani  ketua kip aceh agusni ah sambut tekan debat publik,4,Positif
saleum temanpemilih komisi independen pilih kip aceh selenggara debat publik tiga rangka pilih gubernur wakil gubernur aceh  acara hotel the pade aceh selasa,2,Positif
saleum temanpemilih komisi independen pilih kip aceh laksana rapat koordinasi siap simulasi mungut hitung suara pilih gubernur wakil gubernur bupati wakil bupati walikota wakil walikota aceh ,1,Positif
pasca ricuh debat tiga kandidat calon gubernur aceh nyata selesai,1,Positif
aduh  debat tiga calon gubernur aceh ricuh sebab,1,Positif
debat calon gubernur aceh syeh syoh karu  nya meugule keu panggong akibat om bus pakai alat elektronik curiga dukung lawan  kip aceh larang kandidat pakai alat elektronik apa acara debat,0,Netral
kad kominsa aceh marwan nusuf terima harga buka informasi publik  kategori skpa kualifikasi informatif komisi informasi aceh serah pj gubernur aceh wakil asisten ii sekda aceh zulkifli anjong mon mata banda aceh selasa,3,Positif
detik ricuh lokasi debat cagub aceh  kampanye pariwisata halal tawur halal ,2,Positif
sesuai backdrop pariwisata halal debat cagub aceh,2,Positif
bahas pilkada serentak pj gubernur aceh penuh undang komisi ii dpr ri,4,Positif
ribut debat pilih gubernur aceh  ,0,Netral
debat calon gubernur aceh ricuh provokasi bustami hamzah curang alat bantu dengar fakta microphone alat bantu dengar curang debatpilgubaceh bustamihamzah masyarakataceh,1,Positif
debat gubernur aceh tiga iklan streamung tv  panggumg ,1,Positif
the regional election loud aceh debat publik calon gubernur wakil gubernur aceh selasa november live inews,2,Positif
suka suka pilih gubernur aceh  indonesia menang,-1,Negatif
gubernur aceh bupati aceh singkil,-1,Negatif
live debat calon gubernur wakil gubernur aceh pilkada,2,Positif
bahas pilkada serentak pj gubernur aceh penuh undang komisi ii dpr ri suryapos suryatv,4,Positif
saleum temanpemilih ayo saksi debat tiga calon gubernur calon wakil gubernur aceh pilih siar langsung kanal youtube kip aceh tv nasional selasa november wib  kipaceh kipmelayani pilkadaserentak,3,Positif
habis lihat buku tenun melayu riau kangen pekanbaru kangen gramed sudirman kangen bunderan zapin gubernur kangen lu suka kangen mie aceh demn kangen lontong medan kangen,1,Positif
senin november kepala jaksa negeri aceh jaya wakil kepala seksi intelijen cherry arida s h  hadir giat simulasi mungut hitung suara pilih gubernur wakil gubernur bupati wakil bupati ,-1,Negatif
partai demokrat solid menang pasang mualem dek fadh calon gubernur wakil gubernur aceh pilkada aceh aceh sahabatmualem mualemdekfadh pastimenang pilkadaaceh acehmaju debatpilkada,1,Positif
kelompok rawan dukung pasang calon gubernur wakil gubernur aceh h muzakir manaf h fadhlullah aktif sosialisasi pasang aceh riah  aceh sahabatmualem mualemdekfadh pastimenang pilkadaaceh acehmaju debatpilkada,2,Positif
bahas pilkada pj gubernur aceh hadir rapat komisi ii dpr ri,2,Positif
bentara muda abdya resmi komitmen dukung pasang muzakir manaf fadhlullah pilih gubernur aceh  aceh sahabatmualem mualemdekfadh pastimenang pilkadaaceh acehmaju debatpilkada,1,Positif
dukung mualem dek fadh gubernur aceh,1,Positif
pj gubernur aceh canang tanam pohon hut fakultas tani usk,-1,Negatif
calon wakil gubernur aceh no urut hm fadhil rahmi ustadz abdul somad ziarah makam sop tengku muhammad yusuf abdul wahab jeunieb bireuen aceh  uas abdulsomad safariuas,-1,Negatif
pj gubernur aceh safrizal canang tanam ribu pohon buah khas aceh,0,Netral
surat suara calon bupati aceh tenggara gubernur aceh kurang lipat,-1,Negatif
pilkada aceh tarik gaya politik calon wakil gubernur no fadhlullah dek fadh  silahturahmi tokoh anggap lawan politik mualem  abu yus karya abu doto abu mud damping uas ,1,Positif
pjgubernuraceh padisigupai abdya jabat gubernur aceh h safrizal sih dorong dukung padi sigupai aceh barat daya abdya sertifikat varietas unggul nasional via,0,Netral
uas kenal sahabat calon wakil gubernur aceh syech fadhil acara tabligh akbar,0,Netral
uas kenal tamu istimewa dek fadh calon wakil gubernur aceh ribu warga hadir acara tabligh akbar aceh sahabatmualem mualemdekfadh pastimenang pilkadaaceh acehmaju debatpilkada,0,Netral
h muzakir manaf calon gubernur aceh nomor urut hadir seru sinergi perintah provinsi kota maju aceh  aceh sahabatmualem mualemdekfadh pastimenang pilkadaaceh acehmaju debatpilkada,-1,Negatif
h muzakir manaf calon gubernur aceh nomor urut hadir seru sinergi perintah provinsi kota maju aceh  aceh sahabatmualem mualemdekfadh pastimenang pilkadaaceh acehmaju debatpilkada h vm mxi,-1,Negatif
fauka tugas bantu menang pasang muzakir manaf mualem fadhlullah dek fadh gubernur wakil gubernur aceh pilkada  aceh sahabatmualem mualemdekfadh pastimenang pilkadaaceh acehmaju debatpilkada,0,Netral
,0,Netral
indonesia negara satu unitary state daerah otonomi khusus istimewa  yogyakarta gubernur sultan yogyakarta pilih turun turun  aceh benar jalan syariat isla,-1,Negatif
mantan wakil gubernur aceh muzakir manaf jabat gubernur aceh bustami hamzah saing pilih gubernur  peluang calon  riset adadikompas etdlb,-3,Negatif
seliwer jokowi lulus ugm denial tau jokowi seblum presiden walikota kali gubernur kali kerja bumn pt kertas aceh licin kah ijazah,2,Positif
sandiaga uno endorse muallem dek fadh gubernur aceh,0,Netral
hadir hut fakultas tani usk pj gubernur safrizal canang tanam ribu pohon buah khas aceh,0,Netral
apel siaga mantap kesiap jaga keman laksa pilih gubernur wakil gubernur aceh bupati wakil bupati bireuen,0,Netral
calon wakil gubernur cawagub aceh fadhil rahmi syech fadhil paslon fadhlullah dek fad rebut pengaruh uas raih dukung menang pilgub november ,2,Positif
hadir hut fakultas tani usk pj gubernur safrizal canang tanam ribu pohon buah khas aceh suryapos suryatv,0,Netral
pj gubernur canang tanam ribu pohon buah khas aceh,0,Netral
ulama kondang prof dr kah abdul somad uas kenal dek fadh calon wakil gubernur aceh ribu orang kota subulussalam aceh sahabatmualem mualemdekfadh pastimenang pilkadaaceh acehmaju debatpilkada,1,Positif
lintas onen gelar acara sosialisasi dukung paslon gubernur aceh nomor mualem dek fadh camat bukit kabupaten riah aceh sahabatmualem mualemdekfadh pastimenang pilkadaaceh acehmaju debatpilkada,3,Positif
pj gubernur aceh dukung sertifikasi sigupai abdya varietas padi unggul nasional,1,Positif
pj  gubernur provinsi sulawesi selatan bpk  prof dr zudan arif fakrullah s h  m h terima kunjung paduka mulia wali nanggroe aceh tengok malik mahmud al haytar diam rumah jabat gubernur sulsel ,3,Positif
pj gubernur safrizal maulid raya momentum teladan rasulullah kenang tsunami,1,Positif
jelang pilih kepala daerah debat publik tiga paslon gubernur wakil gubernur aceh,1,Positif
pj gubernur aceh bentuk pansel calon kepala bpma,1,Positif
pj gubernur sumsel realisasi beri bonus atlet raih medali pon xxi aceh sumut,1,Positif
pj  gubernur sumsel elen setiadi serah bonus atlet latih kontingen prov  sumsel pon xxi aceh sumut tempat griya agung jumat  pjgubernursumsel sekdaprovsumsel diskominfoprovsumsel,-1,Negatif
mualem calon gubernur aceh nomor urut hadir acara lantik dpc muda udang kabupaten aceh utara aceh sahabatmualem mualemdekfadh pastimenang pilkadaaceh acehmaju debatpilkada,0,Netral
rangka kesiap teknis guna sistem informasi rekapitulasi elektronik kepala daerah sirekap pilih gubernur wakil gubernur bupati wakil bupati walikota wakil walikota ,-1,Negatif
kip aceh tenggara gelar sosialisasi pilkada gubernur bupati wartawan,1,Positif
kadisbudpar aceh damping pj gubernur safrizal pantau siap maulid raya almunizakamal disbudparaceh kadisbudparacehalmunizakamal popularitascom,3,Positif
jumat november kepala seksi intelijen film ramadhan s h  m h  hadir undang buka sortir lipat surat suara pilih gubernur wakil gubernur aceh walikota wakil walikota sabang kantor kip sabang ,0,Netral
pj gubernur pantau siap maulid raya perintah aceh,2,Positif
kad sosial aceh muslem yacob bantu ukur kaki palsu perintah langsung pj gubernur aceh safrizal selasa bandara sim serah kaki palsu pt  angkasa pura ,3,Positif
he  titip orang butuh kerja titip biarpun salah sembarang kwalifait titip pj   aceh daerah otonomi obok gubernur pilih rakyat pj angkat,-3,Negatif
pj gubernur jumpa dubes syechelles ajak investasi aceh,1,Positif
pj gubernur aceh ajak dubes seychelles kembang investasi pariwisata sabang,2,Positif
pj gubernur safrizal jumpa dubes syechelles ajak investasi aceh,1,Positif
