,cleaned,score,sentimen
70,calon gubernur aceh bustami hamzah nomor urut all .,0,neutral
71,selasa . kepala kejari aceh barat daya bima yudha asmara s.h . m.h . bersama unsur forkopimda menghadiri pemusnahan kelebihan surat suara pemilihan gubenur dan wakil gubernur aceh bupati dan wakil bupati aceh barat daya tahun bertempat di kip setempat .,-3,negative
72,kami tutup . sehubungan dengan pemilihan gubernur dan wakil gubernur bupati dan wakil bupati serta walikota dan wakil walikota pelayanan keimigrasian pada kantor imigrasi kelas i tapi banda aceh dan mpp aceh besar pada . kami akan membuka kembali layanan pada,-3,negative
73,lapas kota bakti bekerjasama sengan kip pidie mengadakan sosialisasi mengenai tata cara pencoblosan pada pemilihan gubernur dan wakil gubernur aceh mendatang . best regard humas lakoti,-1,negative
74,salam berikut pelaksanaan pemungutan suara pemilihan gubernur dan wakil gubernur aceh walikota dan wakil walikota banda aceh tahun rabu november mulai pukul . wib sampai . wib,-2,negative
75,jangan lupa rabu november dari pukul . s.d . ke tps masing masing . berikut calon gubernur wakil gubernur aceh calon walikota wakil walikota calon bupati wakil bupati se aceh .,0,neutral
76,dalam konteks pilkada aceh sekarang ini kita bisa melihat bagaimana pasangan seorang calon gubernur dan wakil gubernur mendapat dukungan yang maksimal dari pasangannya dalam memperkrnalkan sosok paslon melalui kiprahnya sebagai pasangan paslon .,6,positive
77,mualem muzakir manaf menjadi lagu terpopuler di pemilihan gubernur aceh . siapakah penciptanya ?,1,positive
78,salam kpu ri monitoring pendistribusian logistik pemilihan gubernur dan wakil gubernur bupati dan wakil bupati tahun untuk kecamatan pulau banyak dan pulau banyak barat kabupaten aceh singkil di pelabuhan danau anak laut singkil utara minggu,-2,negative
79,salam kip kabupaten aceh singkil melaksanakan rapat koordinasi persiapan rekapitulasi hasil penghitungan suara pemilihan gubernur dan wakil gubernur bupati dan wakil bupati tahun minggu,2,positive
80,selasa nanti bakal mudik ke aceh buat ikut pilkada calon gubernur dan bupati yang akan aku pilih,-2,negative
81,saleum komisi independen pemilihan kip aceh menerima audiensi dari perwakilan liaison officer lo dan pendukung pasangan calon paslon gubernur dan wakil gubernur aceh nomor urut di aula kip aceh kamis .,3,positive
82,pengamanan calon gubernur aceh menghadiri acara kenduri tahunan,1,positive
83,ktp banda aceh masih mending calon walkot masih pande ini coba bayangkan daerah lain . deh bupati walkotnya paok dapat gubernur macam om bus sama muallem hahahahahaha,1,positive
84,saleum komisi independen pemilihan kip aceh bersama kip aceh besar dan forkopimda aceh besar melaksanakan pelepasan logistik pemilihan kepala daerah pilkada gubernur dan wakil gubernur serta bupati dan wakil bupati kabupaten aceh besar tahun .,-2,negative
85,sofyan dawood ucapan bustami hamzah tak pantas keluar dari calon gubernur,-1,negative
86,gue gubernur enggak tau mau memilih siapa deh wkkwkw duadua paslon gubernur aceh enggak ada yang btol,-4,negative
87,aceh harus dapat meniru yogyakarta dalam keistimewaan nya.di yogyakarta.selain china atau asing bumn saja tidak dibenarkan memiliki hak atas tanah selain izin hbu hgb.dan tidak ada pilkada gubernur disana.jgn jadi hantu laut.cuma untuk menaku,-1,negative
88,kira kira berapa kemenangan mualem dek fadh sebagai gubernur aceh terpilih ?,-1,negative
89,tandanya akan ada pasangan calon yang gagal jadi gubernur,-1,negative
90,di hari terakhir kampanye irwandi turun gunung mualem dek fadh gubernur aceh,1,positive
91,neng ca hari ini dengan temannya ikut lomba tari saman di taman mini memperebutkan piala gubernur aceh semangat neng semoga menang,3,positive
92,kalau masalah ilmu pengetahuan muallem kalah jauh dengan calon yang lain tapi masalah pengaruh sangat besar muallem .jadi gubernur aceh akan di menangkan oleh muallem .,0,neutral
93,tengku bi bocoran bacut sau tapileh ke gubernur,-2,negative
94,teungku h. kamaruddin abubakar alias abu razak mantan wakil panglima gerakan aceh merdeka mengajak seluruh relawan dan rakyat aceh untuk mengawal suara gubernur muallem dek fadh,0,neutral
95,banda aceh bustami hamzah membuat masyarakat aceh kecewa akibat pernyataannya yang menganggap masyarakat aceh tidak sekola . perktan itu muncul setalah terjadinya kericuhan pada debat kandidat calon gubernur dan wakil gubernur tahab munculnya pernyaan itu setelah terjadi,1,positive
96,pemerintah aceh melalui panitia seleksi calon kepala bpma sesuai dengan keputusan gubernur aceh nomor akan melakukan seleksi terbuka untuk jabatan kepala bpma yang pendaftarannya dimulai sejak tanggal s.d november,0,neutral
97,istri pj gubernur aceh selaku kabid iv pakai pusat dampingi ketum pakai tinjau rsud kalideres,2,positive
98,calon gubernur aceh buatami hamzah nomor urut all .,0,neutral
99,uas ustad abdul somad dukung letnan jenderal tni h. edy rahmayadi sebagai gubernur sumatera utara sumut . warga aceh di sumut pilih siapa ?,0,neutral
100,rapat kordinasi tim kdeks provinsi jawa barat dan tim kdeks provinsi aceh gubernur aceh,-2,negative
101,pj gubernur aceh dorong pengembangan pariwisata dan perikanan sabang,1,positive
102,kegiatan ini dibuka langsung oleh pj . gubernur aceh safrizal yang dalam arahannya menekankan pentingnya memastikan kesiapan lapangan menjelang hari pencoblosan .,3,positive
103,banda aceh penjabat gubernur aceh dr. h. safrizal saja menghadiri peringatan maulid nabi muhammad saw yang berlangsung di kantor persatuan wartawan indonesia pwi aceh,0,neutral
104,banda aceh penjabat gubernur aceh dr. h. safrizal saja m. sih menerima audiensi tim desk koordinasi pilkada serentak kemenko polhukam di ruangan vip bandara sultan iskandar muda blang bintang,-1,negative
105,pj gubernur safrizal elemen utama mempersiapkan pilkada,0,neutral
106,masa mualem dek fadh tak terbendung .. di semua kampaye akbar se aceh selalu penuh . dek facto and dek jure muallem gubernur aceh terpilih,-2,negative
107,lage ek puko calon gubernur aceh mualem raja puko aceh,0,neutral
108,debat calon gubernur aceh ricuh,1,positive
109,kampanye akbar pasangan calon gubernur dan wakil gubernur aceh h. muzakir manaf dan fadhlullah di aceh utara berlangsung meriah .,3,positive
110,puluhan akademisi bergelar doktor secara resmi mendukung pasangan calon gubernur dan wakil gubernur aceh nomor urut muzakkir manaf dan fadhlullah .,4,positive
111,mualem dek fadh komitmen untuk menegakkan syariat islam secara menyeluruh di aceh jika terpilih sebagai gubernur dan wakil gubernur .,0,neutral
112,juru bicara calon gubernur dan wakil gubernur aceh nomor urut bustami hamzah tengok fadhil rahmi hendra budian menyebut komisi independen pemilihan kip aceh tak berdaya di hadapan kubu pasangan nomor urut muzakir manaf fadhlullah kali rbmeu,1,positive
113,male tanyo meuseu nya gubernur . ya allah but dikheun keu gop tok .. hana narasi soal pembangunan meubacut pih ..,1,positive
114,saya hanya ketawa saja kalau mualim jadi gubernur aceh ? bukan tambah maju tapi tambah mundur tahun ke belakang,1,positive
115,penjelasan paslon dan kenapa debat calon gubernur aceh bubar . gara gara alat elektronik . debat calon gubernur aceh ke tiga syeh syoh dan karu .. nya yang meugule di keu panggong akibat om bus memakai alat elektronik yang dicurigai pihak pendukung lawan .,0,neutral
116,mualem pakai baju melayu di debat calon gubernur aceh ke tiga,2,positive
117,pj gubernur aceh rakyat selalu ingat bantuan tulus dan cepat amerika saat tsunami,1,positive
118,calon wakil gubernur aceh dek fadh jelaskan terkait kericuhan debat kandidat via,2,positive
119,pj gubernur aceh gesekan di pilkada murni proses demokrasi,1,positive
120,terima tim kemenko polhukam pj gubernur insya allah pilkada di aceh akan berjalan lancar dan aman lewat,1,positive
121,pasangan calon gubernur dan wakil gubernur aceh nomor urut muzakir manaf fadhlullah berjanji jika terpilih dalam pilkada mendatang adalah untuk menuju aceh perubahan yang lebih baik diantaranya sektor pembangunan ekonomi penurunan angka kemiskinan serta bebas kkn rabu,-2,negative
122,ribuan warga simpatisan calon gubernur dan wakil gubernur aceh nomor urut muzakir manaf fadhlullah dari partai aceh dan partai nasional pendukungnya berkumpul di lapangan simpang mulieng syamtalira aron aceh utara untuk mengikuti kampanye akbar rabu siang . hmd,2,positive
123,pj gubernur terima audiensi tim desk koordinasi pilkada serentak kemenko polhukam di aceh,2,positive
124,detik detik kericuhan debat gubernur aceh,1,positive
125,pj gubernur terima audiensi tim desk pilkada serentak kemenko polhukam di aceh,1,positive
126,ricuh waakk ! ! debat ketiga pasangan calon gubernur aceh ricuh saat baru dimulai . kip aceh memutuskan debat tidak dilanjutkan karena telah melebihi batas waktu . full,3,positive
127,debat ke paslon gubernur aceh brimob pastikan keamanan kondusif .,2,positive
128,pj gubernur terima audiensi tim desk koordinasi pilkada serentak kemenkopolhukam di aceh,2,positive
129,kabid humas polda aceh kombes pol . joko krisdiyanto s. i. kak mewakili kapolda aceh menghadiri malam penganugerahan keterbukaan informasi publik tahun yang berlangsung di anjong mon mata meuligoe gubernur aceh banda aceh .,-3,negative
130,calon gubernur aceh nomor urut bustami hamzah membantah menggunakan alat bantu komunikasi saat debat pemilihan kepala daerah pilkada aceh pada selasa malam . mana,-1,negative
131,kip abdya juga memberikan berupa souvenir kepada warga yang memberikan pesan pilkada serentak pada hari rabu november dalam pemilihan gubernur dan wakil gubernur aceh bupati dan wakil bupati aceh barat daya tahun .,0,neutral
132,debat calon gubernur ketiga pilkada aceh diwarnai kericuhan antar pendukung . antara foto irwansyah putra yuk . lihat selengkapnya,5,positive
133,karena kalau pintar sudah pasti enggak bisa jadi gubernur . untuk sekelas aceh memang hana perle yang careung jeut keu pemimpin yang perle cit bek syeh syoh inan,-1,negative
134,penjelasan kenapa debat calon gubernur aceh bubar . gara gara alat elektronik,-1,negative
135,penjelasan kenapa debat cagub gubernur aceh bubar . gara gara alat elektronik,-1,negative
136,dengan menghadirkan pasangan calon gubernur dan wakil gubernur untuk menyampaikan visi misi dan program mereka di hadapan publik . debat ketiga ini dimoderatori oleh ayaa nufus dan aulia wardhani . ketua kip aceh agusni ah dalam sambutannya menekankan pentingnya debat publik,4,positive
137,saleum komisi independen pemilihan kip aceh menyelenggarakan debat publik ketiga dalam rangka pemilihan gubernur dan wakil gubernur aceh tahun . acara ini berlangsung di hotel the pade aceh besar pada selasa,2,positive
138,saleum komisi independen pemilihan kip aceh melaksanakan rapat koordinasi persiapan dan simulasi pemungutan serta penghitungan suara untuk pemilihan gubernur dan wakil gubernur bupati dan wakil bupati serta walikota dan wakil walikota se aceh tahun .,1,positive
139,pasca ricuh debat ketiga kandidat calon gubernur aceh dinyatakan selesai,1,positive
140,aduh ! debat ketiga calon gubernur aceh ricuh ini penyebabnya jadi,1,positive
141,debat calon gubernur aceh ke tiga syeh syoh dan karu .. nya yang meugule di keu panggong akibat om bus memakai alat elektronik yang di curigai pihak pendukung lawan . kip aceh melarang kandidat memakai alat elektronik apapun di acara debat,0,neutral
142,kadis kominsa aceh marwan nusuf menerima penghargaan keterbukaan informasi publik tahun . kategori skpa kualifikasi informatif dari komisi informasi aceh diserahkan pj gubernur aceh yang diwakili asisten ii sekda aceh zulkifli di anjong mon mata banda aceh selasa,3,positive
143,detik terjadinya kericuhan di lokasi debat cagub aceh . ini mau kampanye pariwisata halal atau tawuran halal ?,2,positive
144,sesuai dengan backdrop pariwisata halal debat cagub aceh,2,positive
145,bahas pilkada serentak pj gubernur aceh penuhi undangan komisi ii dpr ri,4,positive
146,keributan di debat pemilihan gubernur aceh . ada apa ?,0,neutral
147,debat ke calon gubernur aceh ricuh adanya provokasi yang mengatakan bahwa bustami hamzah melakukan kecurangan menggunakan alat bantu dengar faktanya itu hanya microphone bukan alat bantu dengar untuk melakukan kecurangan,1,positive
148,debat gubernur aceh ketiga kok iklan selalu di streamung dan tv ? apa yang terjadi di panggumg ?,1,positive
149,the regional election loud aceh debat publik terakhir calon gubernur dan wakil gubernur aceh selasa november live hanya di inews,2,positive
150,suka suka kalian lah pilih gubernur aceh siapa . yang penting indonesia menang,-1,negative
151,gubernur aceh bupati aceh singkil,-1,negative
152,live debat terakhir calon gubernur dan wakil gubernur aceh pilkada,2,positive
153,saleum ayo saksikan debat ketiga calon gubernur dan calon wakil gubernur aceh pemilihan tahun akan disiarkan langsung pada kanal youtube kip aceh dan tv nasional pada selasa november pukul wib .,3,positive
154,habis lihat buku tenunan melayu riau aku jadi kangen pekanbaru kangen gramed sudirman yang enggak seberapa itu kangen bunderan zapin depan gubernur kangen lu dan suka yang enggak seberapa itu kangen mie aceh demn lah kangen lontong medannya kangen semuanya,1,positive
155,senin november kepala kejaksaan negeri aceh jaya diwakili oleh kepala seksi intelijen bapak cherry arida s.h . menghadiri kegiatan simulasi pemungutan dan penghitungan suara pada pemilihan gubernur dan wakil gubernur serta bupati dan wakil bupati tahun .,-1,negative
156,partai demokrat solid menangkan pasangan mualem dek fadh sebagai calon gubernur dan wakil gubernur aceh pada pilkada aceh,1,positive
157,kelompok relawan pendukung pasangan calon gubernur dan wakil gubernur aceh h. muzakir manaf dan h. fadhlullah aktif mensosialisasikan pasangan ini di aceh tengah dan benar meriah .,2,positive
158,bahas pilkada pj gubernur aceh hadiri rapat di komisi ii dpr ri,2,positive
159,bentara muda abdya secara resmi menyatakan komitmennya mendukung pasangan muzakir manaf dan fadhlullah dalam pemilihan gubernur aceh .,1,positive
160,dukung mualem dek fadh sebagai gubernur aceh,1,positive
161,pj gubernur aceh canangkan penanaman pohon di hut ke fakultas pertanian usk,-1,negative
162,calon wakil gubernur aceh no urut hm fadhil rahmi dan ustadz abdul somad ziarah ke makam itu sop tengku muhammad yusuf abdul wahab di jeunieb bireuen aceh .,-1,negative
163,pj gubernur aceh safrizal canangkan penanaman ribu pohon buah khas aceh,0,neutral
164,surat suara calon bupati aceh tenggara dan gubernur aceh yang kekurangan dilipat lewat,-1,negative
165,di pilkada aceh menarik melihat gaya politik calon wakil gubernur no fadhlullah dek fadh . mampu melakukan silahturahmi ke beberapa tokoh yang di anggap lawan politik mualem . seperti abu yus apa karya abu doto abu mudi dan terakhir mendampingi uas .,1,positive
166,penjabat gubernur aceh dari h safrizal saja sama sih mendorong dan mendukung agar padi sigupai aceh barat daya abdya mendapatkan sertifikat varietas unggul nasional via,0,neutral
167,uas perkenalkan sahabatnya calon wakil gubernur aceh syech fadhil di acara tabligh akbar,0,neutral
168,uas memperkenalkan tamu istimewanya dek fadh yang merupakan calon wakil gubernur aceh kepada ribuan warga yang hadir dalam acara tabligh akbar,0,neutral
169,h. muzakir manaf calon gubernur aceh nomor urut hadir dan menyerukan pentingnya sinergi antara pemerintahan provinsi dan kota untuk kemajuan aceh .,-1,negative
170,h. muzakir manaf calon gubernur aceh nomor urut hadir dan menyerukan pentingnya sinergi antara pemerintahan provinsi dan kota untuk kemajuan aceh . h vm mxi,-1,negative
171,fauka ditugaskan untuk membantu memenangkan pasangan muzakir manaf mualem dan fadhlullah dek fadh sebagai gubernur dan wakil gubernur aceh pada pilkada .,0,neutral
172,indonesia negara kesatuan unitary state pun ada daerah punya otonomi khusus istimewa . yogyakarta misalnya yang menjadi gubernur ialah sultan yogyakarta tanpa melalui pemilihan melainkan turun temurun . aceh dibenarkan menjalan syariat isla,-1,negative
173,mantan wakil gubernur aceh muzakir manaf dan penjabat gubernur aceh bustami hamzah akan bersaing pada pemilihan gubernur tahun ini . bagaimana peluang kedua calon ? etdlb,-3,negative
174,padahal sudah banyak berseliweran kalo jokowi lulusan ugm tetap saja denial apa lu enggak tau jokowi seblum jadi presiden jadi walikota kali gubernur kali pernah kerja di bumn pula pt kertas aceh selicin itu kah kalo ijazah,2,positive
175,sandiaga uno endorse muallem dek fadh untuk gubernur aceh,0,neutral
176,hadiri hut fakultas pertanian usk pj gubernur safrizal canangkan penanaman ribu pohon buah khas aceh,0,neutral
177,pada apel siaga dan pemantapan kesiapan penjagaan kemanan pada pelaksaan pemilihan gubernur wakil gubernur aceh bupati wakil bupati bireuen tahun,0,neutral
178,dua calon wakil gubernur cawagub aceh yakni fadhil rahmi atau syech fadhil dari paslon dan fadhlullah atau dek fad kini tengah berebut pengaruh uas untuk meraih dukungan dalam memenangkan pilgub november mendatang .,2,positive
179,pj gubernur canangkan penanaman ribu pohon buah khas aceh,0,neutral
180,ulama kondang prof. dr. kah abdul somad atau uas perkenalkan dek fadh sebagai calon wakil gubernur aceh pada ribuan orang di kota subulussalam,1,positive
181,lintas onen menggelar acara sosialisasi dukungan kepada paslon gubernur aceh nomor dua mualem dek fadh di kecamatan bukit kabupaten benar meriah,3,positive
182,pj gubernur aceh dukung sertifikasi sigupai abdya sebagai varietas padi unggul nasional,1,positive
183,pj . gubernur provinsi sulawesi selatan bpk . prof. dr. zudan arif fakrullah s.h . m.h menerima kunjungan paduka yang mulia wali nanggroe aceh tengok malik mahmud al haytar di kediaman rumah jabatan gubernur sulsel .,3,positive
184,pj gubernur safrizal maulid raya momentum meneladani rasulullah dan mengenang tsunami,1,positive
185,jelang pemilihan kepala daerah debat publik ketiga paslon gubernur dan wakil gubernur aceh,1,positive
186,pj gubernur aceh bentuk pansel calon kepala bpma,1,positive
187,pj gubernur sumsel realisasikan pemberian bonus untuk atlet peraih medali pada pon xxi aceh sumut lewat,1,positive
188,pj . gubernur sumsel elen setiadi menyerahkan bonus atlet dan pelatih kontingen prov . sumsel pada pon xxi aceh sumut bertempat di griya agung jumat .,-1,negative
189,mualem calon gubernur aceh nomor urut menghadiri acara pelantikan dpc muda seudang se kabupaten aceh utara,0,neutral
190,dalam rangka untuk memastikan kesiapan teknis penggunaan sistem informasi rekapitulasi elektronik kepala daerah sirekap dalam pemilihan gubernur dan wakil gubernur bupati dan wakil bupati serta walikota dan wakil walikota tahun .,-1,negative
191,kip aceh tenggara gelar sosialisasi pilkada gubernur dan bupati untuk wartawan lewat,1,positive
192,kadisbudpar aceh dampingi pj gubernur safrizal pantau persiapan maulid raya,3,positive
193,jumat november kepala seksi intelijen filman ramadhan s.h . m.h . menghadiri undangan pembukaan sortir dan lipat surat suara pemilihan gubernur dan wakil gubernur aceh serta walikota dan wakil walikota sabang tahun di kantor kip sabang .,0,neutral
194,pj gubernur pantau persiapan maulid raya pemerintah aceh,2,positive
195,kadis sosial aceh muslem yacob mengungkapkan bantuan pengukuran kaki palsu itu merupakan perintah langsung pj gubernur aceh safrizal saja kepadanya pada selasa lalu di bandara sim usai menyerahkan kaki palsu dari pt . angkasa pura .,3,positive
